1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,22514.8,28087.1,5097.8,4967.8,2872.6,4676.8,7188.9,4104.5,14956.6,28869.9,25808.1,26330.2,28778.2,5976.4,4820,5886.3,3223,124689.4
22565.5,0,49419.9,26528.5,26496.6,24303.3,26063.2,22854.6,25633.3,20644.1,50202.7,47140.9,47663,50111,27309.2,26152.8,27219.1,24653.7,110559.6
28249,49734.1,0,25975,24870.8,28136.5,25143.1,33157,25633.5,36693.1,7516.1,3366.4,2180.2,1540,24679.6,24158,23904.4,28873.8,130858.7
5280.3,26681.1,25914.5,0,1735.2,3362,3154.4,8334.5,2607.7,19067.3,26697.3,23635.5,24157.6,26605.6,3175.9,3082.1,3531.7,4452.4,128800.1
5122.2,26735.9,24770.1,1708.6,0,4268.4,2426.7,9240.9,2068.7,18720.2,25552.9,22491.1,23013.2,25461.2,2031.5,1937.7,2387.3,5331.8,128453
2958.2,24384.2,28162.3,3235.5,4121.9,0,4440.4,5895,3540.7,17178.4,28945.1,25883.3,26405.4,28853.4,5562.6,4768.4,5901.7,1593.2,126911.2
4545,26030.1,24918.4,3016.1,2309,4238.6,0,9259.1,1735.6,17468.8,25701.2,22639.4,23161.5,25609.5,2649.9,1493.5,2657.8,4975.9,127201.6
7212.9,23180.8,33105.3,8244.9,9131.3,5882.9,9383.4,0,8550.1,21155.6,33888.1,30826.3,31348.4,33796.4,10572,9711.4,10844.7,6417.2,130888.4
4206.5,25820.2,25588.2,2442.7,2032.7,3516.9,1866.3,8537.4,0,17804.5,26371,23309.2,23831.3,26279.3,3312.6,2194.3,3327.6,4254.2,127537.3
15111.2,20972,36775.9,19041.3,18621,17279.7,17727,21328.8,17757.7,0,36649.3,34496.9,35019,37467,19017.8,17861.4,18927.7,17630.1,110624.4
28854.5,50339.6,7276.5,26580.5,25476.3,28742,25748.6,33762.5,26239,36577.6,0,8791.5,7313.5,8241.2,25285.1,24763.5,24509.9,29479.3,125560.4
26181.9,47667,3274.8,23907.9,22803.7,26069.4,23076,31089.9,23566.4,34626,9215.6,0,2777.1,3566,22612.5,22090.9,21837.3,26806.7,132558.2
26604.7,48089.8,2178.1,24330.7,23226.5,26492.2,23498.8,31512.7,23989.2,35048.8,7528.9,2717.2,0,3142.8,23035.3,22513.7,22260.1,27229.5,130871.5
28920.3,50405.4,1301.7,26646.3,25542.1,28807.8,25814.4,33828.3,26304.8,37364.4,8388.7,3402.7,3052.8,0,25350.9,24829.3,24575.7,29545.1,131731.3
6056.3,27541.4,24678.9,3135.8,2031.6,5695.6,2831.9,10668.1,3315.6,18980.1,25461.7,22399.9,22922,25370,0,1784.2,1967.7,6529.8,128712.9
4947.3,26432.4,24013.6,3099.5,1995.3,4716.3,1722.9,9736.8,2213.3,17871.1,24796.4,21734.6,22256.7,24704.7,1768.3,0,1753,5453.6,127603.9
5954.7,27439.8,23874.3,3523.4,2419.2,5777.3,2783.9,10797.8,3274.3,18878.5,24657.1,21595.3,22117.4,24565.4,1965.9,1798.8,0,6514.6,128611.3
3108.1,24534.1,28679.8,4244.5,5130.9,1481.1,4957.9,6517.6,4274.4,17328.3,29462.6,26400.8,26922.9,29370.9,6406.5,5285.9,6419.2,0,127061.1
125538,111504.3,130699.1,129468.1,129047.8,127706.5,128153.8,131755.6,128184.5,111410.3,125697.8,132214.1,130736.1,131663.8,129444.6,128288.2,129354.5,128056.9,0
