SAP_ID,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
S0,0,1.407175,1.75544375,0.3186125,0.3104875,0.1795375,0.2923,0.44930625,0.25653125,0.9347875,1.80436875,1.61300625,1.6456375,1.7986375,0.373525,0.30125,0.36789375,0.2014375,7.7930875
S1,1.41034375,0,3.08874375,1.65803125,1.6560375,1.51895625,1.62895,1.4284125,1.60208125,1.29025625,3.13766875,2.94630625,2.9789375,3.1319375,1.706825,1.63455,1.70119375,1.54085625,6.909975
S2,1.7655625,3.10838125,0,1.6234375,1.554425,1.75853125,1.57144375,2.0723125,1.60209375,2.29331875,0.46975625,0.2104,0.1362625,0.09625,1.542475,1.509875,1.494025,1.8046125,8.17866875
S3,0.33001875,1.66756875,1.61965625,0,0.10845,0.210125,0.19715,0.52090625,0.16298125,1.19170625,1.66858125,1.47721875,1.50985,1.66285,0.19849375,0.19263125,0.22073125,0.278275,8.05000625
S4,0.3201375,1.67099375,1.54813125,0.1067875,0,0.266775,0.15166875,0.57755625,0.12929375,1.1700125,1.59705625,1.40569375,1.438325,1.591325,0.12696875,0.12110625,0.14920625,0.3332375,8.0283125
S5,0.1848875,1.5240125,1.76014375,0.20221875,0.25761875,0,0.277525,0.3684375,0.22129375,1.07365,1.80906875,1.61770625,1.6503375,1.8033375,0.3476625,0.298025,0.36885625,0.099575,7.93195
S6,0.2840625,1.62688125,1.5574,0.18850625,0.1443125,0.2649125,0,0.57869375,0.108475,1.0918,1.606325,1.4149625,1.44759375,1.60059375,0.16561875,0.09334375,0.1661125,0.31099375,7.9501
S7,0.45080625,1.4488,2.06908125,0.51530625,0.57070625,0.36768125,0.5864625,0,0.53438125,1.322225,2.11800625,1.92664375,1.959275,2.112275,0.66075,0.6069625,0.67779375,0.401075,8.180525
S8,0.26290625,1.6137625,1.5992625,0.15266875,0.12704375,0.21980625,0.11664375,0.5335875,0,1.11278125,1.6481875,1.456825,1.48945625,1.64245625,0.2070375,0.13714375,0.207975,0.2658875,7.97108125
S9,0.94445,1.31075,2.29849375,1.19008125,1.1638125,1.07998125,1.1079375,1.33305,1.10985625,0,2.29058125,2.15605625,2.1886875,2.3416875,1.1886125,1.1163375,1.18298125,1.10188125,6.914025
S10,1.80340625,3.146225,0.45478125,1.66128125,1.59226875,1.796375,1.6092875,2.11015625,1.6399375,2.2861,0,0.54946875,0.45709375,0.515075,1.58031875,1.54771875,1.53186875,1.84245625,7.847525
S11,1.63636875,2.9791875,0.204675,1.49424375,1.42523125,1.6293375,1.44225,1.94311875,1.4729,2.164125,0.575975,0,0.17356875,0.222875,1.41328125,1.38068125,1.36483125,1.67541875,8.2848875
S12,1.66279375,3.0056125,0.13613125,1.52066875,1.45165625,1.6557625,1.468675,1.96954375,1.499325,2.19055,0.47055625,0.169825,0,0.196425,1.43970625,1.40710625,1.39125625,1.70184375,8.17946875
S13,1.80751875,3.1503375,0.08135625,1.66539375,1.59638125,1.8004875,1.6134,2.11426875,1.64405,2.335275,0.52429375,0.21266875,0.1908,0,1.58443125,1.55183125,1.53598125,1.84656875,8.23320625
S14,0.37851875,1.7213375,1.54243125,0.1959875,0.126975,0.355975,0.17699375,0.66675625,0.207225,1.18625625,1.59135625,1.39999375,1.432625,1.585625,0,0.1115125,0.12298125,0.4081125,8.04455625
S15,0.30920625,1.652025,1.50085,0.19371875,0.12470625,0.29476875,0.10768125,0.60855,0.13833125,1.11694375,1.549775,1.3584125,1.39104375,1.54404375,0.11051875,0,0.1095625,0.34085,7.97524375
S16,0.37216875,1.7149875,1.49214375,0.2202125,0.1512,0.36108125,0.17399375,0.6748625,0.20464375,1.17990625,1.54106875,1.34970625,1.3823375,1.5353375,0.12286875,0.112425,0,0.4071625,8.03820625
S17,0.19425625,1.53338125,1.7924875,0.26528125,0.32068125,0.09256875,0.30986875,0.40735,0.26715,1.08301875,1.8414125,1.65005,1.68268125,1.83568125,0.40040625,0.33036875,0.4012,0,7.94131875
S18,7.846125,6.96901875,8.16869375,8.09175625,8.0654875,7.98165625,8.0096125,8.234725,8.01153125,6.96314375,7.8561125,8.26338125,8.17100625,8.2289875,8.0902875,8.0180125,8.08465625,8.00355625,0
