SAP_ID,LATITUDE,LONGITUDE
I-DL-NOID-ENB-1784,28.58352972,77.29484722
I-DL-NOID-ENB-6029,28.58832222,77.30751389
I-DL-DLHI-ENB-3076,28.58929167,77.30132417
I-DL-NOID-ENB-3217,28.58933056,77.30560556
I-DL-DLHI-ENB-9214,28.59039722,77.3041
I-DL-DLHI-ENB-1786,28.59060556,77.29702222
I-DL-DLHI-ENB-4066,28.59066389,77.30653333
I-DL-DLHI-ENB-8838,28.59155,77.30709444
I-DL-DLHI-ENB-1623,28.59177778,77.30510556
I-DL-NOID-ENB-1620,28.59420833,77.31170833
I-DL-DLHI-ENB-0421,28.59522778,77.31031667
I-DL-DLHI-ENB-1610,28.59546111,77.3005225
I-DL-DLHI-ENB-4070,28.595475,77.3091
I-DL-DLHI-ENB-8840,28.59583611,77.30254889
I-DL-DLHI-ENB-3027,28.59612,77.311665
I-DL-DLHI-ENB-3437,28.59664722,77.2984
I-DL-DLHI-ENB-4072,28.59682778,77.31365
I-DL-DLHI-ENB-2993,28.59728611,77.30293056
I-DL-DLHI-ENB-6926,28.59793611,77.29495833
I-DL-DLHI-ENB-1609,28.59837778,77.31093333
I-DL-DLHI-ENB-5530,28.59914167,77.30594444
I-DL-DLHI-ENB-6970,28.60104083,77.31609444
I-DL-DLHI-ENB-1779,28.60203361,77.32515833
I-DL-DLHI-ENB-1837,28.60263167,77.30422778
I-DL-DLHI-ENB-4075,28.602825,77.31530833
I-DL-DLHI-ENB-8844,28.60380556,77.31795944
I-DL-DLHI-ENB-4076,28.60425833,77.31966667
I-DL-DLHI-ENB-0084,28.60456111,77.33427667
I-DL-DLHI-ENB-3890,28.60553056,77.29688611
I-DL-DLHI-ENB-1587,28.60556111,77.30525833
I-DL-DLHI-ENB-6566,28.6061,77.31758194
I-DL-DLHI-ENB-3436,28.606225,77.3289
I-DL-DLHI-ENB-3379,28.60670556,77.30004889
I-DL-DLHI-ENB-6573,28.60691667,77.29053333
I-DL-DLHI-ENB-1825,28.60714444,77.27473333
I-DL-DLHI-ENB-3604,28.60743333,77.31222778
I-DL-DLHI-ENB-1634,28.60775556,77.33901389
I-DL-DLHI-ENB-1619,28.60787222,77.31958056
I-DL-DLHI-ENB-1864,28.60813611,77.29454167
I-DL-DLHI-ENB-3030,28.60901667,77.29220278
I-DL-DLHI-ENB-6504,28.60964722,77.32649444
I-DL-DLHI-ENB-1585,28.60979722,77.28993333
I-DL-DLHI-ENB-4084,28.61012778,77.29670833
I-DL-DLHI-ENB-4085,28.61015833,77.29274722
I-DL-DLHI-ENB-8846,28.61024167,77.33461444
I-DL-DLHI-ENB-8849,28.61025,77.30721
I-DL-DLHI-ENB-8841,28.61071111,77.33243611
I-DL-DLHI-ENB-1608,28.61087778,77.31200556
I-DL-DLHI-ENB-2545,28.61092222,77.27698056
I-DL-DLHI-ENB-3417,28.61123056,77.30429722
I-DL-DLHI-ENB-6927,28.61165556,77.28968333
I-DL-DLHI-ENB-1845,28.61171389,77.30172083
I-DL-DLHI-ENB-8713,28.61173889,77.28040833
I-DL-DLHI-ENB-1555,28.61176111,77.29430278
I-DL-DLHI-ENB-1843,28.61176389,77.32971111
I-DL-DLHI-ENB-0549,28.61176667,77.29162222
I-DL-DLHI-ENB-6969,28.61232778,77.33555528
I-DL-DLHI-ENB-6552,28.61236944,77.29905833
I-DL-DLHI-ENB-0442,28.61249167,77.31522222
I-DL-DLHI-ENB-9239,28.61250833,77.28865833
I-DL-DLHI-ENB-9709,28.61276944,77.32740556
I-DL-DLHI-ENB-0452,28.61284444,77.33268333
I-DL-DLHI-ENB-8847,28.61316389,77.32408056
I-DL-DLHI-ENB-6473,28.61325833,77.28535611
I-DL-DLHI-ENB-9712,28.61336667,77.30021583
I-DL-DLHI-ENB-6968,28.61397222,77.32348889
I-DL-DLHI-ENB-3607,28.61406111,77.33768611
I-DL-DLHI-ENB-8848,28.61413611,77.33
I-DL-DLHI-ENB-9719,28.61424444,77.27600278
I-DL-DLHI-ENB-6925,28.61541944,77.28305278
I-DL-DLHI-ENB-3054,28.61559444,77.32708333
I-DL-DLHI-ENB-1612,28.61569167,77.31441667
I-DL-DLHI-ENB-6574,28.61581944,77.33227222
I-DL-DLHI-ENB-9242,28.61658333,77.33471333
I-DL-DLHI-ENB-5729,28.6167625,77.31190833
I-DL-DLHI-ENB-9718,28.61677917,77.28214722
I-DL-DLHI-ENB-5104,28.61679944,77.32065
I-DL-DLHI-ENB-9247,28.6168175,77.31523056
I-DL-DLHI-ENB-1644,28.61682,77.32953056
I-DL-DLHI-ENB-4427,28.61688528,77.27941667
I-DL-DLHI-ENB-9720,28.61799056,77.32706389
