SAP_ID,LATITUDE,LONGITUDE
I-UE-ABDD-ENB-0388,25.45825,81.85196
I-UE-ABDD-ENB-0315,25.4581,81.85451
I-UE-ABDD-ENB-0432,25.458099,81.848489
I-UE-ABDD-ENB-6075,25.46107,81.84963
I-UE-ABDD-ENB-0156,25.45473,81.85088
I-UE-ABDD-ENB-0532,25.462159,81.850439
I-UE-ABDD-ENB-0073,25.45872,81.8465
I-UE-ABDD-ENB-0164,25.45696914,81.85781993
I-UE-ABDD-ENB-0353,25.4538719,81.8562002
I-UE-ABDD-ENB-0360,25.463679,81.848489
I-UE-ABDD-ENB-0676,25.456359,81.858889
I-UE-ABDD-ENB-0679,25.458629,81.859259
I-UE-ABDD-ENB-0341,25.451829,81.855109
I-UE-ABDD-ENB-0446,25.454327,81.845329
I-UE-ABDD-ENB-0264,25.4647,81.85684
I-UE-ABDD-ENB-0244,25.46294,81.85919
I-UE-ABDD-ENB-0343,25.459139,81.841879
I-UE-ABDD-ENB-0554,25.460959,81.842039
I-UE-ABDD-ENB-6069,25.45480034,81.86172032
I-UE-ABDD-ENB-0310,25.454869,81.841229
I-UE-ABDD-ENB-0614,25.468289,81.854649
I-UE-ABDD-ENB-0324,25.4479,81.8486
I-UE-ABDD-ENB-0072,25.44868,81.84643
I-UE-ABDD-ENB-6095,25.45651,81.83993
I-UE-ABDD-ENB-0166,25.46917,81.8553
I-UE-ABDD-ENB-0686,25.466699,81.843599
I-UE-ABDD-ENB-0727,25.446893,81.851643
I-UE-ABDD-ENB-0382,25.448999,81.844599
I-UE-ABDD-ENB-0254,25.4521,81.86314
I-UE-ABDD-ENB-0366,25.449519,81.841699
I-UE-ABDD-ENB-6062,25.46549,81.86361
I-UE-ABDD-ENB-0726,25.459804,81.83756
I-UE-ABDD-ENB-0442,25.449683,81.840413
I-UE-ABDD-ENB-0730,25.47185864,81.85042016
I-UE-ABDD-ENB-0176,25.46418611,81.83809768
I-UE-ABDD-ENB-0735,25.448992,81.863456
I-UE-ABDD-ENB-0454,25.46771,81.86351
I-UE-ABDD-ENB-0543,25.45983066,81.83585947
I-UE-ABDD-ENB-0734,25.45182453,81.83726784
I-UE-ABDD-ENB-0632,25.450079,81.838319
I-UE-ABDD-ENB-0573,25.469979,81.862449
I-UE-ABDD-ENB-0151,25.46997,81.84111
I-UE-ABDD-ENB-0453,25.444479,81.859589
I-UE-ABDD-ENB-0286,25.47201,81.84337
I-UE-ABDD-ENB-0303,25.44732002,81.83906999
I-UE-ABDD-ENB-6059,25.4432,81.84564
I-UE-ABDD-ENB-0190,25.469,81.86542
I-UE-ABDD-ENB-0429,25.452989,81.834909
I-UE-ABDD-ENB-6006,25.44934722,81.86711111
I-UE-ABDD-ENB-6096,25.45642,81.86993
I-UE-ABDD-ENB-0262,25.46016011,81.8338401
I-UE-ABDD-ENB-0642,25.47441,81.84812
I-UE-ABDD-ENB-0129,25.47229987,81.86164007
I-UE-ABDD-ENB-0732,25.44335236,81.86118263
I-UE-ABDD-ENB-0577,25.455819,81.833089
I-UE-ABDD-ENB-6066,25.467,81.83508
I-UE-ABDD-ENB-6123,25.47615,81.85349
I-UE-ABDD-ENB-6022,25.43985,81.8537
I-UE-ABDD-AG1-4403,25.4456,81.8672
I-UE-ABDD-ENB-0471,25.4603,81.83129
I-UE-ABDD-ENB-0639,25.439679,81.847099
I-UE-ABDD-ENB-0445,25.44769638,81.83420034
I-UE-ABDD-ENB-6008,25.44014,81.85944
I-UE-ABDD-ENB-0379,25.453399,81.830979
I-UE-ABDD-ENB-6070,25.477,81.85892
I-UE-ABDD-ENB-0290,25.45824,81.82961
I-UE-ABDD-ENB-0160,25.47849,81.85098
I-UE-ABDD-ENB-6073,25.44232,81.86621
I-UE-ABDD-ENB-0508,25.44021,81.86311
I-UE-ABDD-ENB-0443,25.4605136,81.8281058
I-UE-ABDD-ENB-0440,25.43759,81.84389
I-UE-ABDD-ENB-0227,25.46689,81.82936
I-UE-ABDD-ENB-0250,25.45593987,81.87644007
I-UE-ABDD-ENB-0323,25.45095,81.82869
I-UE-ABDD-ENB-6072,25.44994,81.87538
I-UE-ABDD-ENB-0448,25.45385,81.82689
I-UE-ABDD-ENB-0376,25.44872,81.8283
I-UE-ABDD-ENB-6064,25.43496,81.85541
I-UE-ABDD-ENB-0729,25.48177165,81.85102368
I-UE-ABDD-ENB-0364,25.460896,81.825718
I-UE-ABDD-ENB-0080,25.4505003,81.82674738
I-UE-ABDD-ENB-0260,25.45694,81.82524
I-UE-ABDD-ENB-0444,25.469764,81.82757
I-UE-ABDD-ENB-0649,25.448898,81.82597
I-UE-ABDD-ENB-0316,25.46113,81.82334
I-UE-ABDD-ENB-0339,25.47087757,81.82551527
I-UE-ABDD-ENB-6089,25.43134,81.84918
I-UE-ABDD-ENB-6071,25.43241,81.84283
I-UE-ABDD-ENB-0529,25.444119,81.825339
I-UE-ABDD-ENB-0476,25.436199,81.871799
I-UE-ABDD-ENB-0007,25.45428332,81.8831777
I-UE-ABDD-ENB-0413,25.430599,81.860999
I-UE-ABDD-ENB-0338,25.449069,81.821629
I-UE-ABDD-ENB-6087,25.44504,81.88151
I-UE-ABDD-ENB-0696,25.467445,81.820371
I-UE-ABDD-ENB-6067,25.43085,81.8377
I-UE-ABDD-ENB-0225,25.4358,81.82837
I-UE-ABDD-ENB-0008,25.48618,81.86862
I-UE-ABDD-ENB-0399,25.437575,81.879726
I-UE-ABDD-ENB-0431,25.44952,81.81695
I-UE-ABDD-ENB-0347,25.445029,81.818449
I-UE-ABDD-ENB-0013,25.48243,81.87711
I-UE-ABDD-ENB-0419,25.49139,81.85487
I-UE-ABDD-ENB-6094,25.43441278,81.82604778
I-UE-ABDD-ENB-0475,25.430589,81.828609
I-UE-ABDD-ENB-0141,25.44231,81.81623
I-UE-ABDD-ENB-0320,25.49364,81.85945
I-UE-ABDD-ENB-0485,25.49436,81.86131
I-UE-ABDD-ENB-0354,25.49536,81.85696
I-UE-ABDD-ENB-6038,25.43819,81.81614
I-UE-ABDD-ENB-6057,25.42262,81.83488
I-UE-ABDD-ENB-6032,25.44206,81.81205
I-UE-ABDD-ENB-6078,25.49665,81.86239
I-UE-ABDD-ENB-0358,25.41714,81.848386
I-UE-ABDD-ENB-0728,25.49406,81.874624
I-UE-ABDD-ENB-6024,25.43389,81.81474
I-UE-ABDD-ENB-0725,25.498624,81.863389
I-UE-ABDD-ENB-0174,25.50014,81.85336
I-UE-ABDD-ENB-0143,25.42628,81.82168
I-UE-ABDD-ENB-0307,25.49739,81.87105
I-UE-ABDD-ENB-6088,25.43617,81.81081
I-UE-ABDD-ENB-0412,25.41509,81.85546
I-UE-ABDD-ENB-6093,25.4233,81.8234
I-UE-ABDD-ENB-6115,25.4171,81.8693
I-UE-ABDD-ENB-6054,25.4303,81.81256
I-UE-ABDD-ENB-0132,25.4418,81.8052
I-UE-ABDD-ENB-0136,25.43342,81.80912
I-UE-ABDD-ENB-0319,25.50075,81.87141
I-UE-ABDD-ENB-0027,25.41255,81.86642
I-UE-ABDD-ENB-6026,25.43818611,81.80386389
